row_id,title,authors_hint,year_hint,venue_hint,doi,arxiv_id,pmid,pmcid,primary_url,landing_page_url,direct_pdf_url,dataset_or_code_url,notes,access_status
P004,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards,Tieqiao Wang; Abhinav Jain; Liqiang He; Cindy Grimm; Sinisa Todorovic,2025,CVPR Workshops,,,,,https://openaccess.thecvf.com/content/CVPR2025W/V4A/html/Wang_A_Dataset_for_Semantic_and_Instance_Segmentation_of_Modern_Fruit_CVPRW_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025W/V4A/html/Wang_A_Dataset_for_Semantic_and_Instance_Segmentation_of_Modern_Fruit_CVPRW_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025W/V4A/papers/Wang_A_Dataset_for_Semantic_and_Instance_Segmentation_of_Modern_Fruit_CVPRW_2025_paper.pdf,https://github.com/tqosu/MFO,Verified from local CVF PDF; no DOI entered unless independently verified,CVF open access
P013,TomatoPGT: A 3D point cloud dataset of tomato plants for segmentation and plant-trait extraction,Prasad Nethala; Dugan Um; Samantha L. McCoy; Seth Gibson; Mahendra Bhandari; Kiju Lee,2026,Data in Brief,10.1016/j.dib.2026.112642,,41869580,PMC13000484,https://www.sciencedirect.com/science/article/pii/S2352340926001952,https://pmc.ncbi.nlm.nih.gov/articles/PMC13000484/,https://europepmc.org/articles/PMC13000484?pdf=render,https://data.mendeley.com/datasets/72md54c7n7/1,Verified from local PDF and primary article records; dataset DOI is 10.17632/72md54c7n7.1,open access
