rank,candidate_id,title,year,authors,venue,doi,arxiv_id,pmid,pmcid,providers,provider_ids,seed_ids,dataset_names,directions,is_open_access,landing_url,pdf_url,abstract
91,doi:10.60507/fk2/ox9xtm,MuST-C Dataset: The Multi-Sensor and Multi-Temporal Data Set of Multiple Crops for In-Field Phenotyping and Monitoring,2025,"Chong, Yue Linn",bonndata,10.60507/fk2/ox9xtm,,,,openalex,openalex:W6975450747,P001,MuST-C,backward_reference,True,https://doi.org/10.60507/fk2/ox9xtm,,"Phenotyping is crucial for understanding crop trait variation and advancing research, but is currently limited by expensive, labor-intensive monitoring. New phenotypic trait monitoring methods are being proposed to reduce this so-called phenotyping bottleneck via automation. These methods are often data-driven, requiring a dataset recorded with a specific sensor and corresponding reference values for developing novel methods. To this end, we present the MuST-C (Multi-Sensor, multi-Temporal, multiple Crops) dataset, which contains field data from various sensors collected over a growing season, covering six crop species. All data was georeferenced for alignment across sensors and dates. To collect our dataset, we deployed aerial and ground robotic platforms equipped with RGB cameras, LiDARs, and multispectral cameras, aiming to capture a wide variety of modalities and observations from different viewpoints. In addition to sensor data, we also provide manually collected leaf area index and biomass reference measurements. Our dataset enables the development of novel automatic phenotypic trait estimation methods, allows comparisons across different sensors, and generalizability across crop species."
92,doi:10.48550/arxiv.2503.05568,TomatoScanner: phenotyping tomato fruit based on only RGB image,2025,Xiaobei Zhao; Xiang Zeng; Yihan Ma; Pengjin Tang; Xiang Li,arXiv.org,10.48550/arxiv.2503.05568,2503.05568,,,semantic_scholar,semantic_scholar:6c4d2906387024233c1856ea4e1ee44ffe7f7bb5,P005,Horti-M3-Tomato,backward_reference,False,https://www.semanticscholar.org/paper/6c4d2906387024233c1856ea4e1ee44ffe7f7bb5,,"In tomato greenhouse, phenotypic measurement is meaningful for researchers and farmers to monitor crop growth, thereby precisely control environmental conditions in time, leading to better quality and higher yield. Traditional phenotyping mainly relies on manual measurement, which is accurate but inefficient, more importantly, endangering the health and safety of people. Several studies have explored computer vision-based methods to replace manual phenotyping. However, the 2D-based need extra calibration, or cause destruction to fruit, or can only measure limited and meaningless traits. The 3D-based need extra depth camera, which is expensive and unacceptable for most farmers. In this paper, we propose a non-contact tomato fruit phenotyping method, titled TomatoScanner, where RGB image is all you need for input. First, pixel feature is extracted by instance segmentation of our proposed EdgeYOLO with preprocessing of individual separation and pose correction. Second, depth feature is extracted by depth estimation of Depth Pro. Third, pixel and depth feature are fused to output phenotype results in reality. We establish self-built Tomato Phenotype Dataset to test TomatoScanner, which achieves excellent phenotyping on width, height, vertical area and volume, with median relative error of 5.63%, 7.03%, -0.64% and 37.06%, respectively. We propose and add three innovative modules - EdgeAttention, EdgeLoss and EdgeBoost - into EdgeYOLO, to enhance the segmentation accuracy on edge portion. Precision and mean Edge Error greatly improve from 0.943 and 5.641% to 0.986 and 2.963%, respectively. Meanwhile, EdgeYOLO keeps lightweight and efficient, with 48.7 M weights size and 76.34 FPS. Codes and datasets: https://github.com/AlexTraveling/TomatoScanner."
93,doi:10.1109/wacv.2014.6835733,Plant classification system for crop /weed discrimination without segmentation,2014,Sebastian Haug; Andreas Michaels; Peter Biber; Jörn Östermann,IEEE Winter Conference on Applications of Computer Vision,10.1109/wacv.2014.6835733,,,,openalex; semantic_scholar,openalex:W2096448242; semantic_scholar:848343ff72682995da16e18b56d54823ab177474,P010,WeedsGalore,backward_reference,False,https://www.semanticscholar.org/paper/848343ff72682995da16e18b56d54823ab177474,,"This paper proposes a machine vision approach for plant classification without segmentation and its application in agriculture. Our system can discriminate crop and weed plants growing in commercial fields where crop and weed grow close together and handles overlap between plants. Automated crop / weed discrimination enables weed control strategies with specific treatment of weeds to save cost and mitigate environmental impact. Instead of segmenting the image into individual leaves or plants, we use a Random Forest classifier to estimate crop/weed certainty at sparse pixel positions based on features extracted from a large overlapping neighborhood. These individual sparse results are spatially smoothed using a Markov Random Field and continuous crop/weed regions are inferred in full image resolution through interpolation. We evaluate our approach using a dataset of images captured in an organic carrot farm with an autonomous field robot under field conditions. Applying the plant classification system to images from our dataset and performing cross-validation in a leave one out scheme yields an average classification accuracy of 93.8 %."
94,doi:10.1371/journal.pone.0077151,Weed Mapping in Early-Season Maize Fields Using Object-Based Analysis of Unmanned Aerial Vehicle (UAV) Images,2013,José M. Peña; Jorge Torres‐Sánchez; Ana Isabel de Castro; Maggi Kelly; Francisca López Granados,PLoS ONE,10.1371/journal.pone.0077151,,24146963,,openalex,openalex:W2080091930,P007,BAWSeg,backward_reference,True,https://doi.org/10.1371/journal.pone.0077151,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0077151&type=printable,"The use of remote imagery captured by unmanned aerial vehicles (UAV) has tremendous potential for designing detailed site-specific weed control treatments in early post-emergence, which have not possible previously with conventional airborne or satellite images. A robust and entirely automatic object-based image analysis (OBIA) procedure was developed on a series of UAV images using a six-band multispectral camera (visible and near-infrared range) with the ultimate objective of generating a weed map in an experimental maize field in Spain. The OBIA procedure combines several contextual, hierarchical and object-based features and consists of three consecutive phases: 1) classification of crop rows by application of a dynamic and auto-adaptive classification approach, 2) discrimination of crops and weeds on the basis of their relative positions with reference to the crop rows, and 3) generation of a weed infestation map in a grid structure. The estimation of weed coverage from the image analysis yielded satisfactory results. The relationship of estimated versus observed weed densities had a coefficient of determination of r(2)=0.89 and a root mean square error of 0.02. A map of three categories of weed coverage was produced with 86% of overall accuracy. In the experimental field, the area free of weeds was 23%, and the area with low weed coverage (<5% weeds) was 47%, which indicated a high potential for reducing herbicide application or other weed operations. The OBIA procedure computes multiple data and statistics derived from the classification outputs, which permits calculation of herbicide requirements and estimation of the overall cost of weed management operations in advance."
95,doi:10.1016/j.dib.2020.105833,Dataset of annotated food crops and weed images for robotic computer vision control,2020,Kaspars Sudars; Jānis Jaško; Ivars Namatēvs; Liva Ozola; Niks Badaukis,Data in Brief,10.1016/j.dib.2020.105833,,32577458,7305380,openalex; semantic_scholar,openalex:W3034892949; semantic_scholar:77a2711af952e94cbe6209435e70444cba00437a,P012,MFWD,backward_reference,True,https://www.semanticscholar.org/paper/77a2711af952e94cbe6209435e70444cba00437a,https://doi.org/10.1016/j.dib.2020.105833,"Weed management technologies that can identify weeds and distinguish them from crops are in need of artificial intelligence solutions based on a computer vision approach, to enable the development of precisely targeted and autonomous robotic weed management systems. A prerequisite of such systems is to create robust and reliable object detection that can unambiguously distinguish weed from food crops. One of the essential steps towards precision agriculture is using annotated images to train convolutional neural networks to distinguish weed from food crops, which can be later followed using mechanical weed removal or selected spraying of herbicides. In this data paper, we propose an open-access dataset with manually annotated images for weed detection. The dataset is composed of 1118 images in which 6 food crops and 8 weed species are identified, altogether 7853 annotations were made in total. Three RGB digital cameras were used for image capturing: Intel RealSense D435, Canon EOS 800D, and Sony W800. The images were taken on food crops and weeds grown in controlled environment and field conditions at different growth stages."
96,doi:10.1177/0278364917720510,"Agricultural robot dataset for plant classification, localization and mapping on sugar beet fields",2017,Nived Chebrolu; Philipp Lottes; Alexander Schaefer; Wera Winterhalter; Wolfram Burgard; Cyrill Stachniss,The International Journal of Robotics Research,10.1177/0278364917720510,,,,openalex; semantic_scholar,openalex:W2739413041; semantic_scholar:88a0c58dc2d79fc1f191bafebbcb1142791873d9,P010,WeedsGalore,backward_reference,True,https://www.semanticscholar.org/paper/88a0c58dc2d79fc1f191bafebbcb1142791873d9,https://journals.sagepub.com/doi/pdf/10.1177/0278364917720510,"There is an increasing interest in agricultural robotics and precision farming. In such domains, relevant datasets are often hard to obtain, as dedicated fields need to be maintained and the timing of the data collection is critical. In this paper, we present a large-scale agricultural robot dataset for plant classification as well as localization and mapping that covers the relevant growth stages of plants for robotic intervention and weed control. We used a readily available agricultural field robot to record the dataset on a sugar beet farm near Bonn in Germany over a period of three months in the spring of 2016. On average, we recorded data three times per week, starting at the emergence of the plants and stopping at the state when the field was no longer accessible to the machinery without damaging the crops. The robot carried a four-channel multi-spectral camera and an RGB-D sensor to capture detailed information about the plantation. Multiple lidar and global positioning system sensors as well as wheel encoders provided measurements relevant to localization, navigation, and mapping. All sensors had been calibrated before the data acquisition campaign. In addition to the data recorded by the robot, we provide lidar data of the field recorded using a terrestrial laser scanner. We believe this dataset will help researchers to develop autonomous systems operating in agricultural field environments. The dataset can be downloaded from http://www.ipb.uni-bonn.de/data/sugarbeets2016/ ."
97,doi:10.48550/arxiv.2603.17069,Edge-Efficient Two-Stream Multimodal Architecture for Non-Intrusive Bathroom Fall Detection,2026,Haitian Wang; Yiren Wang; Xinyu Wang; Sheldon Fung; A. Mansoor,arXiv.org,10.48550/arxiv.2603.17069,2603.17069,,,semantic_scholar,semantic_scholar:073df931079ddcfe3f9f192d01733340b9795bb1,P007,BAWSeg,forward_citation,False,https://www.semanticscholar.org/paper/073df931079ddcfe3f9f192d01733340b9795bb1,,"Falls in wet bathroom environments are a major safety risk for seniors living alone. Recent work has shown that mmWave-only, vibration-only, and existing multimodal schemes, such as vibration-triggered radar activation, early feature concatenation, and decision-level score fusion, can support privacy-preserving, non-intrusive fall detection. However, these designs still treat motion and impact as loosely coupled streams, depending on coarse temporal alignment and amplitude thresholds, and do not explicitly encode the causal link between radar-observed collapse and floor impact or address timing drift, object drop confounders, and latency and energy constraints on low-power edge devices. To this end, we propose a two-stream architecture that encodes radar signals with a Motion--Mamba branch for long-range motion patterns and processes floor vibration with an Impact--Griffin branch that emphasizes impact transients and cross-axis coupling. Cross-conditioned fusion uses low-rank bilinear interaction and a Switch--MoE head to align motion and impact tokens and suppress object-drop confounders. The model keeps inference cost suitable for real-time execution on a Raspberry Pi 4B gateway. We construct a bathroom fall detection benchmark dataset with frame-level annotations, comprising more than 3~h of synchronized mmWave radar and triaxial vibration recordings across eight scenarios under running water, together with subject-independent training, validation, and test splits. On the test split, our model attains 96.1% accuracy, 94.8% precision, 88.0% recall, a 91.1% macro F1 score, and an AUC of 0.968. Compared with the strongest baseline, it improves accuracy by 2.0 percentage points and fall recall by 1.3 percentage points, while reducing latency from 35.9 ms to 15.8 ms and lowering energy per 2.56 s window from 14200 mJ to 10750 mJ on the Raspberry Pi 4B gateway."
98,doi:10.3390/agronomy16050536,YOLOv11-Seg-SSC: Soybean Seedling Segmentation and Spatial Localization from Low-Altitude UAV Imagery,2026,Yaohua Yue; Anbang Zhao,Agronomy,10.3390/agronomy16050536,,,,semantic_scholar,semantic_scholar:7e647e30d2c9e6ef63b555909b652447f9a8f359,P008,SoyCotton,forward_citation,True,https://www.semanticscholar.org/paper/7e647e30d2c9e6ef63b555909b652447f9a8f359,https://doi.org/10.3390/agronomy16050536,"Accurate monitoring of soybean seedlings in the field is a core component for implementing scientific management during the seedling stage and unlocking yield potential. Traditional manual survey methods are inefficient and highly subjective, making them inadequate for real-time assessment at the field scale. This study addresses challenges such as the small size of individual seedlings, dense inter-plant overlap, blurred boundaries, and complex interferences from soil residue and varying illumination by proposing a high-precision method for soybean seedling instance segmentation and georeferenced localization based on low-altitude (12 m) Unmanned Aerial Vehicle (UAV) imagery. By implementing targeted improvements in the YOLOv11n-seg model, we developed the YOLOv11-seg-SSC model, which integrates the SCSA (Shared Cross-Semantic Space and Progressive Channel Self-Attention) mechanism, the Context-Guided (CG) Block, and a lightweight Slim-Neck structure based on GSConv and VoV-GSCSP. While significantly reducing computational complexity (approximately 9.5 GFLOPs and 2.96 M parameters), the model improved the mean average precision for segmentation (mAP@0.5 Mask) from the baseline of 80.6% to 83.3%, maintained a stable detection mAP@0.5 (Box) at 95.9%, and achieved an overall segmentation precision of 85.1% and recall of 80.3%. This approach not only meets the requirements for near-real-time field processing but also outputs seedling spatial distribution results with true geographic coordinates through georeferenced mapping, thereby providing directly applicable data support for seedling count statistics, missing seedling diagnosis, population spatial pattern analysis, and variable-rate management. This study establishes a complete technical pipeline from precise UAV image segmentation to spatially informed seedling status decision support, offering a theoretical foundation for efficient and accurate monitoring of soybean seedlings in the context of smart agriculture."
99,doi:10.18420/giljt2025_02,A survey of datasets for computer vision in agriculture,2025,Nico Heider; Lorenz Gunreben; Sebastian Zürner; Martin Schieck,GIL Jahrestagung,10.18420/giljt2025_02,2502.16950,,,semantic_scholar,semantic_scholar:617875ce17471e6e5107750cc8673fd39c596342,P012,MFWD,forward_citation,False,https://www.semanticscholar.org/paper/617875ce17471e6e5107750cc8673fd39c596342,,"In agricultural research, there has been a recent surge in the amount of Computer Vision (CV) focused work. But unlike general CV research, large high-quality public datasets are sparsely available. This can be partially attributed to the high variability between different agricultural tasks, crops and environments as well as the complexity of data collection, but it is also influenced by the reticence to publish datasets by many authors. This, as well as the lack of a widely used agricultural data repository, are impactful factors that hinder research in applied CV for agriculture as well as the usage of agricultural data in general-purpose CV research. In this survey, we provide a large number of high-quality datasets of images taken on fields. Overall, we find 45 datasets, which are listed in this paper as well as in an online catalog on the project website: https://smartfarminglab.github.io/field_dataset_survey/."
100,doi:10.1109/aisummit66170.2025.11410995,SegFormerDiffusion: A Transformer–Diffusion Hybrid for High-Resolution Potato-Leaf Lesion Segmentation,2025,Anuradha Chug; Chandni Kohli; A P Singh; V Shanmugam; Ravinder Kumar,2025 2nd Global AI Summit - International Conference on Artificial Intelligence and Emerging Technology (AI Summit),10.1109/aisummit66170.2025.11410995,,,,openalex; semantic_scholar,openalex:W7133481486; semantic_scholar:7dd7ff1a20affb01cc79624c5ce7a59ef3892d95,P011,PlantSeg,forward_citation,False,https://www.semanticscholar.org/paper/7dd7ff1a20affb01cc79624c5ce7a59ef3892d95,,"Timely and accurate plant disease segmentation is essential for precision agriculture and automated crop health monitoring. Conventional convolutional neural networks (CNNs), such as U-Net, are limited by their inability to capture long-range spatial dependencies, resulting in poor boundary delineation. SegFormer and other transformer-based designs overcome this constraint by modeling the global environment, but their lightweight decoders frequently have trouble with fine-grained lesion boundaries. A diffusion-augmented transformer framework, which combines a SegFormer encoder with a diffusion-based decoder for iterative feature denoising and boundary refinement, is suggested as a solution to these problems. The diffusion module produces reliable and consistent segmentation by enhancing local detail while maintaining global context.The detailed experiments demonstrate that addition of diffusion refinement enhances the performance. The comparisons with standard transformer models confirm its effectiveness. In particular, SegFormer (B0)+Diff achieved accuracy, with a Dice score of 99.34% and an IoU score of 98.68%, surpassing conventional architectures. These results establish diffusion-based decoding as an effective and scalable strategy for advancing plant disease segmentation towards real-world agricultural applications."
